timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 6 7 0.3030512708026792 0.09694872919732084
2 6 21 0.32195160637939874 0.07804839362060129
2 7 8 0.3733332363259547 0.026666763674045302
2 7 22 0.3425880672750894 0.05741193272491063
2 8 23 0.3512077750608121 0.048792224939187945
2 9 24 0.3424657404142965 0.05753425958570352
2 10 11 0.3975712113304396 0.002428788669560422
2 10 25 0.32761027339417276 0.07238972660582726
2 11 12 0.3800903867192562 0.01990961328074381
2 13 14 0.31671511251804246 0.08328488748195756
2 16 17 0.36724878220968205 0.03275121779031798
2 18 19 0.35457874663318595 0.045421253366814074
2 21 22 0.2939105305101733 0.10608946948982673
2 23 24 0.37898991137658733 0.021010088623412693
3 6 7 0.29026555754661315 0.10973444245338687
3 6 21 0.3146066081726427 0.08539339182735733
3 7 8 0.3293590473756872 0.0706409526243128
3 7 22 0.3686627991241168 0.03133720087588321
3 8 23 0.3901885547509596 0.00981144524904043
3 9 24 0.35511116919138724 0.04488883080861278
3 10 25 0.31878722932691705 0.08121277067308297
3 11 12 0.34624917317717213 0.05375082682282789
3 13 14 0.1827636181641608 0.2172363818358392
3 16 17 0.3106766834920954 0.08932331650790465
3 18 19 0.2778608527150474 0.12213914728495262
3 21 22 0.2816264709319609 0.11837352906803911
3 23 24 0.33921102892072574 0.06078897107927428
4 6 7 0.38178245954314266 0.018217540456857362
4 7 8 0.315416049564944 0.08458395043505601
4 11 12 0.3334506241710389 0.06654937582896114
4 13 14 0.19126840298205375 0.20873159701794627
4 16 17 0.2768301955323488 0.12316980446765124
4 18 19 0.24177670934691714 0.15822329065308288
4 21 22 0.39623550851768985 0.0037644914823101727
4 23 24 0.31893845190676545 0.08106154809323457
5 7 8 0.3380289584316173 0.061971041568382734
5 11 12 0.3511535488377886 0.048846451162211424
5 16 17 0.27726144241700135 0.12273855758299868
5 18 19 0.2762879221815608 0.12371207781843924
5 23 24 0.32425782727190927 0.07574217272809075
6 7 8 0.3761776650927282 0.023822334907271814
6 11 12 0.38690831746115256 0.01309168253884746
6 13 15 0.3887275541758502 0.011272445824149824
6 16 17 0.30552785787277714 0.09447214212722288
6 18 19 0.3577648744851677 0.04223512551483233
6 23 24 0.3384766245097722 0.06152337549022785
7 13 15 0.36704501395694555 0.03295498604305447
7 16 17 0.3411091850723876 0.058890814927612445
7 23 24 0.3458435337887591 0.05415646621124093
8 13 16 0.3895835776337004 0.010416422366299638
8 16 17 0.3522122366806627 0.04778776331933732
8 23 24 0.3490899355309589 0.050910064469041116
9 13 16 0.3335475359182615 0.06645246408173855
9 16 17 0.37429970138769386 0.02570029861230616
9 23 24 0.35677146879404487 0.043228531205955156
10 13 16 0.3377352858565504 0.06226471414344964
10 13 17 0.3403285886266576 0.05967141137334242
10 16 19 0.36570802101046745 0.03429197898953257
10 23 24 0.36511374260952256 0.03488625739047746
10 24 25 0.39969523767321097 3.0476232678905424E-4
11 13 16 0.3514264181725419 0.048573581827458134
11 16 19 0.22995501997171403 0.170044980028286
11 18 20 0.33739577483041366 0.06260422516958636
11 23 24 0.3667305939998136 0.03326940600018641
11 24 25 0.38594152730339326 0.01405847269660676
12 12 14 0.37319033738773916 0.026809662612260865
12 13 16 0.33391934769129805 0.06608065230870197
12 13 19 0.25791742350455954 0.14208257649544048
12 16 18 0.3983906173791009 0.0016093826208991024
12 16 19 0.3517941799911506 0.04820582000884943
12 18 20 0.3889816065834108 0.011018393416589223
12 23 24 0.3585192763440936 0.04148072365590644
12 24 25 0.38119931070330576 0.018800689296694262
13 11 12 0.389135389601727 0.010864610398273022
13 12 14 0.33690953839583565 0.06309046160416437
13 13 16 0.35424526618138974 0.04575473381861028
13 13 19 0.3771711928923273 0.02282880710767271
13 15 17 0.32074342941349754 0.07925657058650248
13 18 20 0.39635302236147785 0.0036469776385221753
13 23 24 0.33971230912037814 0.06028769087962188
13 24 25 0.3842140466874005 0.01578595331259952
14 11 12 0.3638724662672778 0.036127533732722206
14 12 14 0.2943044481623815 0.10569555183761853
14 13 16 0.3333628846393108 0.06663711536068923
14 15 17 0.17931379478638435 0.22068620521361568
14 17 19 0.3568812306294343 0.043118769370565746
14 18 20 0.39557947876080013 0.004420521239199893
14 23 24 0.3169891159887657 0.0830108840112343
14 24 25 0.3897373143570016 0.010262685642998426
15 11 12 0.32511072193215956 0.07488927806784046
15 12 14 0.24077392478073512 0.1592260752192649
15 13 16 0.3932632849471438 0.006736715052856224
15 14 15 0.372801187670213 0.027198812329787048
15 15 17 0.1857899816276649 0.2142100183723351
15 17 19 0.3635731109574567 0.03642688904254332
15 23 24 0.29300140622580456 0.10699859377419546
15 24 25 0.3935322395399662 0.006467760460033833
16 10 25 0.3784461253305094 0.021553874669490602
16 11 12 0.248989733356474 0.15101026664352601
16 11 14 0.3578725675742195 0.04212743242578054
16 11 25 0.34971473044550727 0.05028526955449275
16 12 14 0.21405696100058996 0.18594303899941006
16 12 15 0.3495703982177664 0.0504296017822336
16 14 15 0.35592432644700145 0.04407567355299857
16 15 17 0.2834376293127416 0.11656237068725844
16 23 24 0.26290373902330716 0.13709626097669286
16 24 25 0.39030199336810345 0.009698006631896572
17 8 9 0.39571109387556447 0.004288906124435554
17 10 11 0.3575883226297635 0.042411677370236545
17 10 24 0.33257619920469816 0.06742380079530186
17 10 25 0.3185186894644954 0.08148131053550461
17 11 12 0.2509061954773974 0.14909380452260262
17 11 14 0.37070916476766946 0.02929083523233056
17 11 25 0.2192263235760291 0.18077367642397094
17 12 14 0.2484488362930252 0.15155116370697483
17 15 17 0.2988543841138704 0.10114561588612964
17 23 24 0.217865042698849 0.18213495730115103
17 24 25 0.3648457748935535 0.0351542251064465
18 8 9 0.31786589053359954 0.08213410946640048
18 10 11 0.36585161033794567 0.03414838966205436
18 10 24 0.27328012481181085 0.12671987518818917
18 10 25 0.2786642838811252 0.12133571611887484
18 11 25 0.23705086917353074 0.16294913082646928
18 12 14 0.33193299170212415 0.06806700829787588
18 15 17 0.3338213402137503 0.0661786597862497
18 23 24 0.1743393514096707 0.22566064859032933
18 23 25 0.2946583803465143 0.10534161965348571
18 24 25 0.3004987938747779 0.09950120612522212
19 7 8 0.3580993908947628 0.04190060910523724
19 7 22 0.38358437361073033 0.01641562638926969
19 8 9 0.24464981520834994 0.15535018479165008
19 9 24 0.28400804594488654 0.11599195405511348
19 10 23 0.39431315176675724 0.0056868482332427805
19 10 24 0.3334645673808672 0.0665354326191328
19 10 25 0.30060067345292374 0.09939932654707628
19 11 25 0.3401275631090961 0.059872436890903935
19 13 18 0.36654577660226295 0.03345422339773707
19 23 24 0.21695965169327 0.18304034830673002
19 23 25 0.3282313453655908 0.07176865463440923
20 7 8 0.2627707327679972 0.13722926723200285
20 7 9 0.3317866061313035 0.06821339386869651
20 7 22 0.33177307565242975 0.06822692434757027
20 8 9 0.19367910544874237 0.20632089455125766
20 8 24 0.30090146076077967 0.09909853923922035
20 9 24 0.17449250416511614 0.2255074958348839
20 10 23 0.3435518955815944 0.05644810441840564
20 11 14 0.3905883741060143 0.009411625893985698
20 11 25 0.3795201889502789 0.02047981104972113
20 13 18 0.3726753220876917 0.027324677912308304
20 23 24 0.3747007850424613 0.02529921495753873
20 23 25 0.39975134358594855 2.4865641405147354E-4
21 6 22 0.327690466480811 0.072309533519189
21 7 8 0.22944169639722814 0.17055830360277188
21 7 9 0.23925927917048498 0.16074072082951504
21 7 22 0.233851647472745 0.16614835252725502
21 8 9 0.23401300577452117 0.16598699422547886
21 8 22 0.3505110911223679 0.04948890887763213
21 9 24 0.30984813881737117 0.09015186118262886
21 11 14 0.39914225676407866 8.577432359213599E-4
21 23 25 0.3408651654136306 0.05913483458636942
22 6 7 0.38247909190502577 0.017520908094974252
22 6 22 0.2078569004972897 0.19214309950271033
22 7 8 0.22709764138358188 0.17290235861641814
22 7 9 0.35466930446983785 0.04533069553016217
22 7 22 0.1845449563528488 0.21545504364715123
22 8 9 0.28486573274294275 0.11513426725705728
22 8 22 0.3093552452927047 0.09064475470729533
22 23 25 0.30010056102434834 0.09989943897565168
23 6 7 0.38192312013638197 0.018076879863618056
23 6 21 0.2985440903702329 0.10145590962976714
23 6 22 0.14917904543563124 0.2508209545643688
23 7 8 0.39456244624289916 0.005437553757100866
23 7 22 0.26346744764621655 0.13653255235378348
23 8 9 0.2675491415338615 0.13245085846613852
23 23 25 0.32773838871667327 0.07226161128332675
24 6 21 0.16500080120886598 0.23499919879113404
24 6 22 0.17679277681302688 0.22320722318697314
24 8 9 0.2919770231878255 0.10802297681217454
24 21 22 0.3313212542348661 0.06867874576513394
25 6 21 0.17584927575098871 0.2241507242490113
25 6 22 0.28420288284102335 0.11579711715897667
25 8 9 0.3773422213561229 0.022657778643877136
25 13 18 0.3953147828481854 0.004685217151814636
26 6 21 0.25265389836421764 0.14734610163578238
27 6 21 0.38491706870598164 0.015082931294018387
